PetID,AdoptionSpeed,bert_prob_0,bert_prob_1,bert_prob_2,bert_prob_3,bert_prob_4
8e76c8e39,1,0.016782602,0.21891673,0.30096194,0.32533047,0.13800825
6436c1a59,2,0.006382363,0.07759303,0.1485185,0.29570064,0.47180554
988988d5b,1,0.03792939,0.2827043,0.18036476,0.2003543,0.29864722
efbf1703a,2,0.03591313,0.2595208,0.23982972,0.19634032,0.26839602
543130f60,4,0.034832586,0.29806638,0.27276078,0.22707339,0.1672669
eabb13cea,1,0.011613671,0.09076747,0.10148249,0.14435622,0.6517802
9a38d4275,1,0.025260337,0.27130252,0.22440659,0.23889168,0.24013886
c1e816568,4,0.007741495,0.12002264,0.36926806,0.44532645,0.057641353
f0ef9c777,4,0.027724536,0.26249212,0.24247248,0.2483515,0.21895935
3181e5424,4,0.021482076,0.15583512,0.2147328,0.22811449,0.37983555
45d2ddcb8,2,0.009587378,0.16115473,0.31118244,0.41519347,0.102882
259b10a3e,0,0.029512845,0.21489774,0.22419572,0.25408494,0.27730876
ff125cf8d,4,0.010295377,0.14864999,0.15758531,0.24450219,0.43896717
e9df3ead7,4,0.047317147,0.26022896,0.23143928,0.17839354,0.28262103
49bb70e36,2,0.0414166,0.30861488,0.2670226,0.18348657,0.19945931
d50e11ec5,3,0.01798191,0.27245983,0.2847992,0.3073134,0.11744569
cdab8ba8e,2,0.009563554,0.1436671,0.25566483,0.3795871,0.2115174
55fcdea2f,3,0.03299133,0.33183393,0.3135465,0.19136797,0.13026026
2e4c1faf7,1,0.045262713,0.37824455,0.23077321,0.17968933,0.16603015
4c594983d,4,0.0064547127,0.081379935,0.10900891,0.19674161,0.60641485
54791dc58,2,0.036711667,0.26218688,0.26986417,0.2161262,0.21511106
e1ecc1b26,2,0.023179583,0.2765158,0.28459066,0.271046,0.14466792
687e9c33c,4,0.010694898,0.0975653,0.1326049,0.16067176,0.5984632
d14d62508,2,0.009871768,0.120612435,0.20176367,0.2882857,0.37946635
cd7bea671,3,0.011100964,0.062633745,0.35525894,0.5418623,0.029144054
d0bc14f47,4,0.015792832,0.13295473,0.19414914,0.23478751,0.42231578
eab8c8c03,3,0.026868401,0.19923712,0.23955142,0.23240922,0.30193385
3b4a987ba,4,0.01598774,0.23621221,0.33576927,0.29553792,0.11649281
1bbb46822,3,0.010140773,0.059382513,0.3502381,0.5491047,0.031133888
702bee848,2,0.019083787,0.18141034,0.25946373,0.304487,0.23555513
bea72e6c5,4,0.0064611537,0.05883879,0.09856405,0.1649141,0.6712219
d5df16a32,2,0.015888857,0.28822935,0.3946261,0.23417664,0.067079075
06296e4e2,4,0.027505465,0.34385106,0.33422628,0.20035657,0.09406061
207d61997,1,0.047004577,0.3196497,0.30023363,0.19176126,0.1413508
38a81271c,4,0.026071042,0.3217731,0.30211475,0.21994811,0.13009296
8f85e69ee,3,0.022070419,0.21956177,0.3175322,0.2929686,0.147867
4f0eacbdd,1,0.043431956,0.3818424,0.27874485,0.18501326,0.11096749
f4ed1a08e,4,0.02779185,0.266365,0.2815257,0.25267923,0.1716382
ba66a7a82,1,0.029723937,0.18857552,0.26981562,0.22440398,0.28748086
eeb60466e,1,0.02249524,0.1731259,0.21975741,0.21507153,0.36954996
f70251906,4,0.0113742035,0.11627385,0.2750524,0.3821688,0.21513072
d0fcfeb0f,1,0.02744123,0.23204486,0.25970393,0.23875639,0.2420536
a88d34ee3,1,0.009199445,0.1389631,0.40343013,0.40650925,0.04189805
e37f4aa07,3,0.014850151,0.25061658,0.39571086,0.2780995,0.06072294
7de2f688b,4,0.017614136,0.18746546,0.19700254,0.22285847,0.37505946
66201cf73,2,0.011126233,0.11374865,0.23610644,0.349543,0.28947562
13f07ee9a,1,0.025805369,0.27504477,0.3075626,0.21668972,0.1748975
a4530b1d0,1,0.044540565,0.23580016,0.23504804,0.19908074,0.28553045
da6bb3100,3,0.022350641,0.23567064,0.21745065,0.23028265,0.29424545
4036e0e12,3,0.006540712,0.08236921,0.1419882,0.22976558,0.5393364
2a7b5edbf,4,0.043699548,0.25119957,0.22146936,0.17241558,0.311216
18042e473,1,0.04659306,0.32033518,0.19489254,0.15751472,0.28066453
145883970,3,0.032837804,0.29631084,0.27550006,0.18895803,0.20639329
e3d9dc96d,1,0.03460626,0.29278588,0.26582852,0.20585917,0.20092018
6e643eba1,4,0.013662594,0.15271997,0.19721338,0.28694773,0.34945628
a1b3dafc9,3,0.017958634,0.2222882,0.37894088,0.28400218,0.09681012
fe88a5777,2,0.025195193,0.18515189,0.19064699,0.22407734,0.37492856
0b4bb9906,1,0.03711932,0.31450287,0.25817883,0.1995868,0.1906122
f03b04b1e,4,0.06055787,0.31342652,0.2612238,0.17246243,0.19232939
479500716,4,0.036908817,0.20094198,0.22397193,0.20141114,0.3367661
99dcd9020,4,0.040909998,0.25158152,0.28939274,0.21764135,0.20047441
eb6c692dc,4,0.033766218,0.16962439,0.22941308,0.23441714,0.33277914
026ebf139,3,0.013549649,0.18620144,0.2896976,0.36030427,0.15024701
6c7c5555f,2,0.033334043,0.2658354,0.26108992,0.23862088,0.20111977
1a54d4e92,3,0.011784199,0.20877568,0.32759908,0.3266369,0.12520416
ceed27182,2,0.017167967,0.27901715,0.24959618,0.2528505,0.20136815
66dda45c4,1,0.048746362,0.28906518,0.2393989,0.17265773,0.25013182
9c87d70e5,1,0.023500979,0.22021477,0.26910526,0.27597535,0.21120363
6dbc5c968,3,0.04691452,0.29761413,0.24198723,0.17488937,0.23859479
c43ecb3e1,1,0.016369652,0.26517254,0.4107586,0.24484031,0.062858924
4060caeb1,1,0.011947632,0.25049394,0.37336478,0.3334293,0.030764386
0f122f712,1,0.010047175,0.2144839,0.3715077,0.3775035,0.026457768
3b1976326,2,0.010446783,0.1329461,0.44668046,0.38674012,0.023186564
35907f15e,2,0.022743577,0.26695555,0.33341032,0.2548014,0.12208915
6e3aad5f3,3,0.028800467,0.29502642,0.29855213,0.21302432,0.16459668
915173d4d,4,0.02079178,0.23874557,0.28917617,0.29743502,0.15385143
