PetID,AdoptionSpeed,distilroberta_prob_0,distilroberta_prob_1,distilroberta_prob_2,distilroberta_prob_3,distilroberta_prob_4
8e76c8e39,1,0.020084836,0.23114543,0.29307202,0.18913628,0.26656145
6436c1a59,2,0.011618318,0.08270638,0.3253358,0.32096767,0.25937182
988988d5b,1,0.056191348,0.22691628,0.21802956,0.13513003,0.36373278
efbf1703a,2,0.020374913,0.22886236,0.24750538,0.16362149,0.33963582
543130f60,4,0.014997991,0.4175509,0.3473807,0.14883305,0.07123736
eabb13cea,1,0.015323374,0.02347678,0.040917125,0.061985645,0.8582971
9a38d4275,1,0.015743492,0.06932398,0.15231329,0.1582451,0.6043742
c1e816568,4,0.0028813395,0.07895218,0.3641996,0.4452907,0.108676195
f0ef9c777,4,0.007076167,0.10967131,0.29098955,0.29473215,0.29753083
3181e5424,4,0.0028630162,0.026603231,0.34392166,0.5805883,0.046023786
45d2ddcb8,2,0.0033067237,0.051473495,0.38580704,0.5296703,0.029742379
259b10a3e,0,0.0038303619,0.028323418,0.38765162,0.5528698,0.027324762
ff125cf8d,4,0.0055782595,0.053501647,0.1507408,0.17092246,0.6192569
e9df3ead7,4,0.03363538,0.41465366,0.2831163,0.13985811,0.12873654
49bb70e36,2,0.03211528,0.39763016,0.31595927,0.16062662,0.09366861
d50e11ec5,3,0.009574008,0.32484558,0.42470288,0.23652504,0.0043524853
cdab8ba8e,2,0.004611997,0.13718697,0.42268074,0.42848006,0.007040179
55fcdea2f,3,0.008042383,0.30696633,0.44508648,0.22864899,0.011255803
2e4c1faf7,1,0.024514856,0.42950925,0.31569856,0.20981026,0.02046705
4c594983d,4,0.0077525266,0.08447011,0.1170396,0.12167626,0.6690615
54791dc58,2,0.008375647,0.12106039,0.30940756,0.2380399,0.32311648
e1ecc1b26,2,0.011870042,0.5151594,0.26883444,0.15691763,0.047218435
687e9c33c,4,0.0057813087,0.0061710444,0.009602935,0.016190393,0.96225446
d14d62508,2,0.002999527,0.044864405,0.37391046,0.54178226,0.036443315
cd7bea671,3,0.0057729133,0.020389695,0.360396,0.5948474,0.018593945
d0bc14f47,4,0.0065504033,0.06704103,0.37722304,0.49724084,0.051944647
eab8c8c03,3,0.0168564,0.14063177,0.30185345,0.23138332,0.30927506
3b4a987ba,4,0.008506979,0.26888883,0.3325455,0.28746766,0.10259103
1bbb46822,3,0.005768195,0.019863423,0.35771576,0.5973924,0.019260261
702bee848,2,0.002901474,0.11069692,0.430354,0.4060496,0.049997978
bea72e6c5,4,0.004728962,0.01952292,0.072747946,0.14878583,0.7542144
d5df16a32,2,0.006419515,0.28870037,0.39003408,0.30904022,0.0058058375
06296e4e2,4,0.029710127,0.5703273,0.24835002,0.10570126,0.04591129
207d61997,1,0.012440068,0.28365883,0.23381759,0.13420159,0.33588192
38a81271c,4,0.016987853,0.4441369,0.33190566,0.15699264,0.049976956
8f85e69ee,3,0.017051315,0.030652424,0.046786,0.061488528,0.8440217
4f0eacbdd,1,0.028695468,0.3058407,0.3890845,0.27276382,0.003615524
f4ed1a08e,4,0.0069564376,0.048391964,0.19655775,0.27626216,0.47183165
ba66a7a82,1,0.01714673,0.030369135,0.18298814,0.26381978,0.50567627
eeb60466e,1,0.015237651,0.20460866,0.3133905,0.19549055,0.27127263
f70251906,4,0.011446452,0.055710282,0.14250568,0.22646323,0.56387436
d0fcfeb0f,1,0.0075416532,0.23638166,0.47753963,0.27538654,0.0031505157
a88d34ee3,1,0.011397026,0.2521313,0.423456,0.3076107,0.0054050167
e37f4aa07,3,0.0243245,0.31673822,0.39426908,0.21641742,0.04825071
7de2f688b,4,0.01173819,0.041272886,0.079371855,0.079279326,0.7883377
66201cf73,2,0.012228801,0.23635359,0.40701276,0.27119967,0.07320519
13f07ee9a,1,0.004252871,0.30548358,0.46338096,0.22025113,0.0066315103
a4530b1d0,1,0.02855104,0.28892118,0.3856847,0.22644721,0.0703959
da6bb3100,3,0.005114748,0.0334481,0.07926604,0.09235137,0.7898198
4036e0e12,3,0.003968489,0.068729065,0.23598693,0.27103752,0.42027798
2a7b5edbf,4,0.03290081,0.101292625,0.10684894,0.082482256,0.67647547
18042e473,1,0.0141642485,0.19241098,0.34820664,0.34394932,0.10126881
145883970,3,0.014793441,0.377284,0.29842705,0.1239883,0.18550718
e3d9dc96d,1,0.03589124,0.51746964,0.17284018,0.08967511,0.1841238
6e643eba1,4,0.008344173,0.117453076,0.27092752,0.23610987,0.36716536
a1b3dafc9,3,0.0046068747,0.07552128,0.49065748,0.41638333,0.012831012
fe88a5777,2,0.024195028,0.088274255,0.39165515,0.2849972,0.21087843
0b4bb9906,1,0.009051596,0.20895496,0.33486977,0.23761082,0.20951286
f03b04b1e,4,0.023268472,0.22625285,0.3049091,0.17431426,0.27125525
479500716,4,0.02324921,0.087347,0.1203275,0.0992649,0.66981137
99dcd9020,4,0.04982353,0.3917906,0.2881254,0.16902135,0.10123907
eb6c692dc,4,0.047571633,0.39713562,0.29421502,0.14661916,0.11445856
026ebf139,3,0.003944513,0.14976653,0.4724423,0.34059405,0.03325267
6c7c5555f,2,0.01146818,0.16007447,0.36790338,0.361831,0.09872294
1a54d4e92,3,0.0075275707,0.30843586,0.41620466,0.26258138,0.0052505503
ceed27182,2,0.013173239,0.52399427,0.28389972,0.12327035,0.055662442
66dda45c4,1,0.028307797,0.35414422,0.35676128,0.17176364,0.08902302
9c87d70e5,1,0.003983191,0.29292265,0.43438044,0.25818324,0.010530534
6dbc5c968,3,0.016083883,0.46184316,0.3411402,0.14749867,0.03343412
c43ecb3e1,1,0.01564144,0.4306999,0.33545464,0.21135499,0.0068490566
4060caeb1,1,0.010761079,0.51494324,0.27352858,0.19458489,0.0061821896
0f122f712,1,0.008731308,0.34275883,0.32773134,0.31597483,0.004803666
3b1976326,2,0.013341614,0.18412907,0.51662266,0.28250292,0.0034037589
35907f15e,2,0.0087595675,0.16452728,0.5089642,0.3117708,0.005978143
6e3aad5f3,3,0.012148542,0.23393098,0.44438243,0.28430843,0.025229631
915173d4d,4,0.022092676,0.23417634,0.16498129,0.09555389,0.48319575
81d97fa9f,3,0.006765462,0.022947388,0.385822,0.569855,0.01461019
fb3bd80d1,1,0.0151280705,0.2144223,0.4225101,0.30670062,0.041238926
4d999ee22,4,0.025495196,0.20929158,0.15853365,0.09340056,0.513279
0637293ec,1,0.039066516,0.44607577,0.2514789,0.14076917,0.1226097
7ead795bb,2,0.0070454963,0.2829325,0.40696838,0.28357303,0.019480698
fcd21f3ec,2,0.010054883,0.11420504,0.25351232,0.24186862,0.38035914
76d5726c4,1,0.0067647095,0.17236048,0.38016856,0.30908874,0.13161746
86afe98e6,4,0.048116386,0.18245916,0.21328859,0.19438946,0.36174646
92b89a666,4,0.0033518479,0.017409295,0.31551227,0.5481318,0.11559482
da327c74b,4,0.014610938,0.12311047,0.4119662,0.23815838,0.21215402
10a6c97d5,2,0.0060233483,0.07645283,0.1693194,0.18601911,0.5621853
df39a5468,2,0.051922917,0.14530952,0.43087968,0.33864886,0.03323901
37f127385,2,0.01652843,0.31671408,0.36413452,0.24849387,0.054129142
20559d623,3,0.006483676,0.024242083,0.3899302,0.565704,0.013640018
2e1d3ae52,4,0.037819106,0.4549782,0.25756878,0.15555127,0.09408261
3b0b2a86a,1,0.016118199,0.5006057,0.3244823,0.14550905,0.013284694
184ea777b,3,0.0042276694,0.03438104,0.34272987,0.5286483,0.09001317
0636650db,1,0.014334308,0.47431704,0.31239942,0.187746,0.011203181
d8128cefd,4,0.013634913,0.261285,0.39664462,0.28770435,0.040731095
dd7ad37e7,1,0.065826364,0.45806593,0.2698218,0.17263384,0.033652093
6c3a05812,3,0.007797124,0.12582016,0.4552438,0.40649626,0.0046426514
1171c9a41,4,0.006849749,0.10691653,0.17761043,0.20071618,0.5079071
67dbd5ed9,1,0.017655674,0.41707525,0.3221381,0.18381181,0.059319124
a6e902691,4,0.0045831343,0.008982712,0.03246325,0.07798842,0.8759826
a6423eca8,1,0.040787004,0.19535865,0.2577856,0.19335954,0.31270915
2cea63a41,1,0.008731308,0.34275883,0.32773134,0.31597483,0.004803666
27104e464,4,0.006911704,0.032463886,0.3991022,0.40470976,0.15681244
da8a47785,1,0.005497504,0.51724666,0.3097809,0.15617941,0.0112955775
3e2cc2690,2,0.018563267,0.10733794,0.11282488,0.10540509,0.6558689
c5072890c,4,0.073043264,0.2239595,0.10143754,0.06565592,0.53590375
cdb855a69,3,0.0132002765,0.23604718,0.4236278,0.31612325,0.011001584
6f93a41c5,4,0.035118826,0.20055784,0.1965374,0.1082168,0.45956913
dc56ff89a,1,0.006964793,0.19298483,0.29884067,0.28234628,0.21886344
2b3ec0f96,3,0.018249186,0.40206474,0.3526917,0.1897166,0.037277814
a9bfec3ba,4,0.009972197,0.13174127,0.30569246,0.27620146,0.27639264
bb4c6519d,4,0.008499117,0.0071202107,0.0068823216,0.010347167,0.96715117
700a93465,2,0.084311694,0.426805,0.17486037,0.083889574,0.23013331
e0238b8c2,4,0.010907717,0.061303105,0.10739574,0.10098343,0.71941
6e3457b81,3,0.014231379,0.11111848,0.23106639,0.23492414,0.40865964
06f523361,1,0.014523073,0.22235768,0.40209758,0.25507632,0.10594538
8dfe4da6a,4,0.004761563,0.12017097,0.48412913,0.36665538,0.02428303
782eb0d9d,3,0.05643817,0.032962184,0.06615125,0.07452216,0.76992625
157e3e074,2,0.073739044,0.38734445,0.28651652,0.1561969,0.09620308
eb8aeff64,3,0.008684323,0.19327568,0.44808298,0.3337539,0.016203145
e9e06e3f6,2,0.019566208,0.40279323,0.29774702,0.23780426,0.04208927
b5aa169b4,4,0.014294191,0.086644396,0.09297333,0.07151378,0.7345743
445c703ff,2,0.01438942,0.32635465,0.3955174,0.17882417,0.084914334
b9d6b1488,2,0.00360984,0.018872304,0.3438884,0.55501294,0.07861652
1ffb40e20,1,0.026776759,0.27287233,0.3695968,0.22549354,0.10526052
c0fe34d97,3,0.01007652,0.4483865,0.27581125,0.25717157,0.00855416
f91147e5f,4,0.0048185517,0.05731667,0.13242012,0.17802717,0.62741745
0e4049f6d,2,0.0059057525,0.0907059,0.5121997,0.38749066,0.0036979995
daf1a8d08,4,0.019706877,0.04501023,0.08153822,0.08103351,0.77271116
30908fb77,1,0.048913263,0.18785082,0.1542808,0.12112584,0.4878293
beb3a6da0,1,0.016926304,0.5186212,0.2645843,0.13220884,0.067659326
24d9b76ae,4,0.028445622,0.53475124,0.17510885,0.08874003,0.17295425
c8fc0d746,2,0.026750315,0.13461527,0.14661327,0.11766998,0.5743512
fbaec0999,1,0.09234932,0.4382031,0.30174425,0.15384701,0.013856302
f253bd6aa,2,0.027060024,0.52692986,0.25952688,0.17908658,0.007396691
21493e6ea,4,0.024151066,0.14230534,0.26915354,0.22027422,0.34411588
3304185a1,4,0.03986903,0.042243242,0.07960062,0.103290126,0.734997
8b63e1b21,2,0.00908225,0.38780057,0.38702708,0.20870064,0.007389481
d9033fea0,3,0.010752459,0.20004104,0.48081598,0.2895351,0.018855402
80f8877f8,2,0.013094548,0.3546894,0.3965754,0.21004121,0.025599461
58fe1756c,2,0.00452628,0.2693249,0.42269632,0.2767931,0.026659422
71c3f9254,1,0.028763255,0.64072675,0.18667985,0.11732746,0.026502715
76e071fcb,2,0.006269704,0.015135024,0.021506278,0.03282824,0.92426085
71ad8e81d,3,0.04920773,0.4750966,0.30591053,0.12865452,0.0411306
5bda8f113,3,0.026543228,0.1793975,0.37858182,0.31733602,0.098141424
943e9242f,1,0.023081051,0.42829537,0.3382247,0.15463534,0.055763535
ae524a36a,2,0.0053054485,0.12510031,0.48534918,0.3706718,0.013573214
a0ece637e,4,0.06872008,0.2609841,0.15016705,0.09097063,0.42915812
c9646e275,3,0.0055632493,0.3358586,0.38788474,0.2593234,0.011370071
7d2fe6bb6,4,0.034276683,0.49620768,0.25590554,0.13980947,0.07380067
6f85ce1a9,3,0.0075561698,0.38168436,0.3822747,0.1834579,0.045026932
9c263fbc4,4,0.037059188,0.3368691,0.30047065,0.18016095,0.14544006
