PetID,AdoptionSpeed,resnet_prob_0,resnet_prob_1,resnet_prob_2,resnet_prob_3,resnet_prob_4
8e76c8e39,1,0.07337234,0.116865546,0.34961286,0.23606947,0.22407979
6436c1a59,2,0.1149638,0.106086165,0.2881936,0.17078331,0.3199731
988988d5b,1,0.124039635,0.16377038,0.28450063,0.2684023,0.15928708
efbf1703a,2,0.14807327,0.27646005,0.099809915,0.2504019,0.22525485
543130f60,4,0.24331443,0.02463863,0.09266794,0.49007082,0.14930815
eabb13cea,1,0.09796317,0.13847947,0.32791755,0.20037045,0.23526932
9a38d4275,1,0.31064138,0.28589693,0.2436467,0.12404824,0.03576673
c1e816568,4,0.07907265,0.056347698,0.18635127,0.4117306,0.26649782
f0ef9c777,4,0.100740895,0.08386448,0.13646656,0.39756346,0.28136462
3181e5424,4,0.028279733,0.027077105,0.08709576,0.23522761,0.62231976
45d2ddcb8,2,0.08116078,0.20912173,0.25221512,0.3021532,0.15534918
259b10a3e,0,0.05571778,0.09006431,0.17483698,0.65854037,0.020840555
ff125cf8d,4,0.08280871,0.4769968,0.06408341,0.21296191,0.16314907
e9df3ead7,4,0.08177901,0.27896082,0.15927728,0.1394423,0.34054056
49bb70e36,2,0.079918176,0.43245572,0.29462132,0.15051919,0.042485695
d50e11ec5,3,0.08176574,0.06680045,0.14628905,0.3278015,0.37734327
cdab8ba8e,2,0.099507414,0.30543804,0.29805315,0.17295747,0.12404397
55fcdea2f,3,0.11567236,0.55256087,0.1948214,0.07180507,0.06514027
2e4c1faf7,1,0.067449935,0.13467617,0.3066255,0.22027771,0.27097067
4c594983d,4,0.047375053,0.024846941,0.08345291,0.162252,0.6820731
54791dc58,2,0.13088658,0.15018438,0.20508152,0.3107965,0.20305097
e1ecc1b26,2,0.05719439,0.16629395,0.47004083,0.17479299,0.13167788
687e9c33c,4,0.12761347,0.04975502,0.20164837,0.13155189,0.48943132
d14d62508,2,0.038230706,0.2635015,0.3888599,0.21114865,0.09825919
cd7bea671,3,0.11042522,0.08733221,0.23569956,0.2966638,0.26987925
d0bc14f47,4,0.043202262,0.029075528,0.10268922,0.07259789,0.75243515
eab8c8c03,3,0.2,0.2,0.2,0.2,0.2
3b4a987ba,4,0.10584692,0.104311965,0.34336442,0.34266654,0.103810206
1bbb46822,3,0.061734583,0.14647546,0.3843131,0.30312732,0.10434958
702bee848,2,0.051180895,0.055233117,0.13277908,0.1770141,0.5837928
bea72e6c5,4,0.07233498,0.03409311,0.109421596,0.4144634,0.36968684
d5df16a32,2,0.05385348,0.0551114,0.27405196,0.5736049,0.04337826
06296e4e2,4,0.17774053,0.40697342,0.22910725,0.13444018,0.051738594
207d61997,1,0.088455655,0.1971885,0.23980072,0.37269825,0.101856895
38a81271c,4,0.13997388,0.26330745,0.20073967,0.24732277,0.14865625
8f85e69ee,3,0.13388649,0.09905594,0.2268676,0.26627016,0.27391985
4f0eacbdd,1,0.099422775,0.27212542,0.2657324,0.19204257,0.17067674
f4ed1a08e,4,0.06401739,0.16261831,0.25294656,0.2716206,0.24879709
ba66a7a82,1,0.08958112,0.1787442,0.2935818,0.2796594,0.15843351
eeb60466e,1,0.069399685,0.33971766,0.362423,0.0855592,0.14290042
f70251906,4,0.10177753,0.059123304,0.16878065,0.29697597,0.37334257
d0fcfeb0f,1,0.03526427,0.050910078,0.3434167,0.5169411,0.053467885
a88d34ee3,1,0.05913786,0.32743743,0.22497559,0.27041337,0.118035756
e37f4aa07,3,0.058959663,0.03481325,0.12424566,0.6201001,0.16188131
7de2f688b,4,0.06830045,0.045431312,0.32648027,0.18111053,0.37867752
66201cf73,2,0.10268282,0.11235363,0.3485608,0.16352014,0.27288252
13f07ee9a,1,0.21726911,0.14933585,0.37756738,0.12833545,0.12749226
a4530b1d0,1,0.1442432,0.18505938,0.33106384,0.15490155,0.18473211
da6bb3100,3,0.08658813,0.1107973,0.2766299,0.36587226,0.16011237
4036e0e12,3,0.11393696,0.16203374,0.22227435,0.30153257,0.2002224
2a7b5edbf,4,0.1343684,0.19466347,0.2833086,0.31541762,0.072241925
18042e473,1,0.22236638,0.22406486,0.18714844,0.2935705,0.07284985
145883970,3,0.09196172,0.078356735,0.23232214,0.17456326,0.4227961
e3d9dc96d,1,0.28551748,0.18890424,0.26626155,0.15474126,0.10457544
6e643eba1,4,0.089730985,0.15368642,0.26993558,0.3283826,0.15826438
a1b3dafc9,3,0.15347433,0.069584936,0.0672139,0.18130663,0.52842027
fe88a5777,2,0.11074266,0.13189599,0.10762541,0.34146968,0.30826625
0b4bb9906,1,0.1504925,0.2266867,0.31402874,0.17876881,0.13002317
f03b04b1e,4,0.06257725,0.06977589,0.07992036,0.6209954,0.16673107
479500716,4,0.09297492,0.23182087,0.14288172,0.24811618,0.2842063
99dcd9020,4,0.17829652,0.07104169,0.10725457,0.16366352,0.47974375
eb6c692dc,4,0.08573883,0.0658944,0.17416449,0.36754444,0.30665782
026ebf139,3,0.11394723,0.116763376,0.44033772,0.13211656,0.1968351
6c7c5555f,2,0.14982446,0.13942604,0.2968468,0.17687179,0.23703094
1a54d4e92,3,0.07320025,0.09948453,0.38385412,0.21675111,0.22670999
ceed27182,2,0.13310224,0.1567817,0.35536402,0.23406792,0.1206841
66dda45c4,1,0.07290134,0.14666677,0.40416977,0.18890138,0.18736078
9c87d70e5,1,0.077704415,0.13399923,0.17119943,0.49859732,0.11849955
6dbc5c968,3,0.12813847,0.15552545,0.3335039,0.17154476,0.2112874
c43ecb3e1,1,0.14237233,0.5252262,0.23378861,0.054874185,0.043738704
4060caeb1,1,0.083141096,0.14022443,0.28114825,0.35209408,0.14339213
